LEMMA,FREQUENCY,f/M,LOG F/M,,
δίνω,2003,1477.94,4.17,Loading...,
καλός,1963,1448.43,4.16,Loading...,
εικόνα,1937,1429.24,4.16,Loading...,
παρακάτω,1912,1410.79,4.15,Loading...,
μέσα,1881,1387.92,4.14,Loading...,
τάξη,1867,1377.59,4.14,Loading...,
ζωή,1857,1370.21,4.14,life,
διαβάζω,1830,1350.29,4.13,Loading...,
φτιάχνω,1792,1322.25,4.12,Loading...,
πάω,1774,1308.97,4.12,Loading...,
τρόπος,1765,1302.33,4.11,Loading...,
συζητάω,1726,1273.55,4.11,Loading...,
αλλά,1725,1272.81,4.10,Loading...,
παρατηρώ,1723,1271.34,4.10,Loading...,
ομάδα,1701,1255.11,4.10,Loading...,
όμως,1689,1246.25,4.10,Loading...,
συμπληρώνω,1676,1236.66,4.09,Loading...,
ελλάδα,1618,1193.86,4.08,Loading...,
ελλάς,1618,1193.86,4.08,Loading...,
βάζω,1607,1185.75,4.07,Loading...,
φορά,1604,1183.53,4.07,Loading...,
παίζω,1572,1159.92,4.06,Loading...,
δε,1565,1154.76,4.06,Loading...,
πόλη,1544,1139.26,4.06,Loading...,
κείμαι,1538,1134.83,4.05,Loading...,
πόσος,1538,1134.83,4.05,Loading...,
νερό,1535,1132.62,4.05,Loading...,
πρέπει,1510,1114.17,4.05,Loading...,
μαθαίνω,1500,1106.79,4.04,Loading...,
έτσι,1493,1101.63,4.04,Loading...,
πρόβληµα,1490,1099.42,4.04,Loading...,
σχολείο,1490,1099.42,4.04,Loading...,
βιβλίο,1486,1096.46,4.04,Loading...,
έργο,1467,1082.45,4.03,Loading...,
μαζί,1444,1065.47,4.03,Loading...,
θεός,1415,1044.08,4.02,Loading...,
ζω,1414,1043.34,4.02,Loading...,
κόσμος,1406,1037.44,4.02,Loading...,
μέρος,1404,1035.96,4.02,Loading...,
σωστός,1400,1033.01,4.01,Loading...,
γνωρίζω,1390,1025.63,4.01,Loading...,
δικός,1386,1022.68,4.01,Loading...,
ως,1371,1011.61,4.01,Loading...,
μαθητής,1352,997.59,4.00,Loading...,
ζώο,1330,981.36,3.99,Loading...,
αγαπάω,1315,970.29,3.99,I love,
σπίτι,1301,959.96,3.98,Loading...,
πάνω,1296,956.27,3.98,Loading...,
ελληνικός,1290,951.84,3.98,Loading...,
περιοχή,1288,950.37,3.98,Loading...,
ιστορία,1285,948.15,3.98,Loading...,
φως,1270,937.09,3.97,Loading...,
μετά,1265,933.40,3.97,Loading...,
χώρα,1262,931.18,3.97,Loading...,
ίδιος,1243,917.16,3.96,Loading...,
ακούω,1228,906.10,3.96,Loading...,
χρειάζοµαι,1214,895.77,3.95,Loading...,
μόνο,1204,888.39,3.95,only,
δραστηριότητα,1182,872.15,3.94,Loading...,
μην,1178,869.20,3.94,Loading...,
δείχνω,1146,845.59,3.93,Loading...,
χριστός,1142,842.64,3.93,Christ,
περνώ,1141,841.90,3.93,Loading...,
όπου,1133,836.00,3.92,Loading...,
σαν,1132,835.26,3.92,like,
σώμα,1130,833.79,3.92,body,
μέρα,1128,832.31,3.92,Loading...,
τότε,1126,830.83,3.92,Loading...,
περνάω,1119,825.67,3.92,Loading...,
χάνω,1118,824.93,3.92,Loading...,
ακόμα,1116,823.46,3.92,Loading...,
σχήμα,1115,822.72,3.92,shape,
φράση,1109,818.29,3.91,Loading...,
παιχνίδι,1106,816.08,3.91,Loading...,
πίνακας,1105,815.34,3.91,Loading...,
γη,1103,813.86,3.91,Loading...,
πρόταση,1092,805.75,3.91,proposal,
εκεί,1088,802.80,3.90,Loading...,
κάτι,1086,801.32,3.90,Loading...,
βοηθώ,1077,794.68,3.90,Loading...,
πως,1076,793.94,3.90,Loading...,
προς,1075,793.20,3.90,Loading...,
πολλά,1072,790.99,3.90,Loading...,
ώρα,1072,790.99,3.90,Loading...,
φθάνω,1069,788.78,3.90,Loading...,
λίγος,1064,785.09,3.89,Loading...,
ρήμα,1057,779.92,3.89,Loading...,
δίδω,1045,771.07,3.89,Loading...,
τρεις,1045,771.07,3.89,three,
υπολογίζω,1043,769.59,3.89,Loading...,
διαφορετικός,1025,756.31,3.88,different,
ονομάζω,1023,754.83,3.88,Loading...,
αρχίζω,1021,753.36,3.88,Loading...,
έρχομαι,1012,746.72,3.87,Loading...,
φτάνω,1004,740.81,3.87,Loading...,
σήμερα,995,734.17,3.87,Loading...,
μουσική,980,723.11,3.86,Loading...,
εκείνος,968,714.25,3.85,Loading...,
τόπος,963,710.56,3.85,Loading...,
θάλασσα,960,708.35,3.85,Loading...,
νέος,941,694.33,3.84,Loading...,
αγώνας,937,691.38,3.84,Loading...,
δημιουργώ,932,687.69,3.84,Loading...,
ενέργεια,927,684.00,3.84,Loading...,
παράδειγµα,925,682.52,3.83,Loading...,
τώρα,912,672.93,3.83,Loading...,
χωρίς,910,671.46,3.83,Loading...,
αθήνα,908,669.98,3.83,Loading...,
παράδειγμα,908,669.98,3.83,Loading...,
κατά,907,669.24,3.83,Loading...,
όσος,902,665.55,3.82,Loading...,
άγιος,890,656.70,3.82,Loading...,
κανένας,889,655.96,3.82,Loading...,
κλάσμα,878,647.84,3.81,Loading...,
χέρι,878,647.84,3.81,Loading...,
φίλος,864,637.51,3.80,Loading...,
δηλαδή,844,622.76,3.79,Loading...,
αποτελώ,842,621.28,3.79,Loading...,
αρχαίος,835,616.12,3.79,Loading...,
δρόμος,833,614.64,3.79,Loading...,
έλληνας,817,602.83,3.78,Loading...,
κράτος,817,602.83,3.78,state,
ουσιαστικό,815,601.36,3.78,Loading...,
λόγος,809,596.93,3.78,Loading...,
πού,808,596.19,3.78,Loading...,
εκκλησία,807,595.46,3.77,Loading...,
ξέρω,805,593.98,3.77,Loading...,
τρώγω,800,590.29,3.77,Loading...,
υλικό,800,590.29,3.77,Loading...,
μέχρι,796,587.34,3.77,Loading...,
μερικοί,780,575.53,3.76,Loading...,
ακολουθώ,777,573.32,3.76,Loading...,
φαίνομαι,777,573.32,3.76,Loading...,
χρώμα,777,573.32,3.76,Loading...,
κάτω,776,572.58,3.76,Loading...,
κεφάλαιο,776,572.58,3.76,Loading...,
μιλάω,775,571.84,3.76,I speak,
φέρω,775,571.84,3.76,Loading...,
προσπαθώ,772,569.63,3.76,Loading...,
χώρος,768,566.68,3.75,Loading...,
όργανο,765,564.47,3.75,Loading...,
πας,754,556.35,3.75,Loading...,
ενώ,749,552.66,3.74,Loading...,
σειρά,748,551.92,3.74,Loading...,
ας,739,545.28,3.74,Loading...,
λίγο,739,545.28,3.74,Loading...,
πληροφορία,737,543.81,3.74,Loading...,
πόλεµος,737,543.81,3.74,Loading...,
καθένας,735,542.33,3.73,Loading...,
αφού,729,537.90,3.73,Loading...,
ώστε,728,537.16,3.73,Loading...,
κύριος,726,535.69,3.73,Loading...,
ορίζω,724,534.21,3.73,set,
λαός,722,532.74,3.73,Loading...,
εργασία,717,529.05,3.72,Loading...,
θέση,716,528.31,3.72,position,
φυτό,714,526.83,3.72,Loading...,
πρόσωπο,713,526.10,3.72,Loading...,
δύναμη,712,525.36,3.72,Loading...,
ίδια,710,523.88,3.72,Loading...,
θέμα,709,523.14,3.72,Loading...,
μένω,706,520.93,3.72,Loading...,
χάρτης,705,520.19,3.72,Loading...,
ρωτώ,701,517.24,3.71,I ask,
χωρίζω,694,512.08,3.71,Loading...,
γράμμα,693,511.34,3.71,Loading...,
θυμούμαι,687,506.91,3.70,Loading...,
απαντάω,686,506.17,3.70,Loading...,
κρατώ,684,504.70,3.70,keep,
μεταξύ,683,503.96,3.70,between,
εποχή,681,502.48,3.70,Loading...,
στοιχείο,681,502.48,3.70,Loading...,
εξηγώ,680,501.75,3.70,explain,
κοντά,679,501.01,3.70,near,
ήχος,677,499.53,3.70,Loading...,
βυζαντινός,672,495.84,3.70,Loading...,
γύρω,667,492.15,3.69,Loading...,
ζητάω,667,492.15,3.69,Loading...,
οικογένεια,667,492.15,3.69,Loading...,
γλώσσα,666,491.42,3.69,Loading...,
πόλεμος,665,490.68,3.69,Loading...,
γινόμενο,662,488.47,3.69,Loading...,
τέλος,660,486.99,3.69,Loading...,
τραγούδι,657,484.78,3.69,Loading...,
πόσο,651,480.35,3.68,Loading...,
πριν,649,478.87,3.68,Loading...,
εκφράζω,647,477.40,3.68,Loading...,
σημαντικός,647,477.40,3.68,Loading...,
συναντώ,637,470.02,3.67,Loading...,
μέτρο,634,467.81,3.67,measure,
τόσο,634,467.81,3.67,Loading...,
είδος,631,465.59,3.67,Loading...,
ανάμεσα,627,462.64,3.67,Loading...,
απάντηση,623,459.69,3.66,Loading...,
καθώς,622,458.95,3.66,Loading...,
μορφή,622,458.95,3.66,Loading...,
σχέση,620,457.48,3.66,Loading...,
αλλάζω,615,453.79,3.66,Loading...,
παρουσιάζω,615,453.79,3.66,Loading...,
πράξη,613,452.31,3.66,Loading...,
καταλαβαίνω,611,450.83,3.65,Loading...,
περιγράφω,611,450.83,3.65,Loading...,
λύνω,609,449.36,3.65,Loading...,
σημειώνω,607,447.88,3.65,Loading...,
λοιπόν,605,446.41,3.65,Loading...,
περίπου,603,444.93,3.65,Loading...,
εδώ,596,439.77,3.64,Loading...,
μουσικός,595,439.03,3.64,Loading...,
ξεκινώ,589,434.60,3.64,start,
παλιός,587,433.13,3.64,Loading...,
αντικείμενο,585,431.65,3.64,Loading...,
όχι,583,430.17,3.63,Loading...,
βασιλιάς,581,428.70,3.63,Loading...,
μετράω,579,427.22,3.63,Loading...,
νησί,579,427.22,3.63,Loading...,
περιβάλλον,579,427.22,3.63,Loading...,
συνέχεια,577,425.75,3.63,Loading...,
σχηματίζω,572,422.06,3.63,Loading...,
χαρτί,572,422.06,3.63,Loading...,
θυμάμαι,571,421.32,3.62,Loading...,
ενότητα,568,419.11,3.62,unity,
ζωγραφίζω,568,419.11,3.62,Loading...,
αποτέλεσμα,565,416.89,3.62,Loading...,
άσκηση,565,416.89,3.62,Loading...,
δημοτικός,564,416.15,3.62,Loading...,
μάτι,561,413.94,3.62,eye,
γραμμή,560,413.20,3.62,Loading...,
μιλώ,557,410.99,3.61,Loading...,
όνομα,557,410.99,3.61,Loading...,
σχεδιάζω,555,409.51,3.61,design,
λύση,553,408.04,3.61,Loading...,
κομμάτι,545,402.14,3.60,Loading...,
λάθος,545,402.14,3.60,Loading...,
αγάπη,540,398.45,3.60,Loading...,
συνεχίζω,540,398.45,3.60,continue,
συμμαθητής,539,397.71,3.60,Loading...,
ηρακλής,538,396.97,3.60,Loading...,
ημέρα,537,396.23,3.60,Loading...,
αναφέρω,535,394.76,3.60,Loading...,
αφήνω,532,392.54,3.59,Loading...,
μονάδα,531,391.81,3.59,unit,
όσο,531,391.81,3.59,as long as,
λόγιο,530,391.07,3.59,scholar,
πατέρας,530,391.07,3.59,Loading...,
επίθετο,528,389.59,3.59,Loading...,
βγαίνω,526,388.12,3.59,Loading...,
κάτοικος,525,387.38,3.59,Loading...,
κινώ,524,386.64,3.59,Loading...,
ταξίδι,524,386.64,3.59,Loading...,
πηγή,522,385.16,3.59,Loading...,
αιώνας,519,382.95,3.58,Loading...,
βοήθεια,518,382.21,3.58,Loading...,
γρήγορος,518,382.21,3.58,Loading...,
βάλλω,514,379.26,3.58,Loading...,archaic
δέντρο,514,379.26,3.58,Loading...,
δάσκαλος,513,378.52,3.58,Loading...,
φωνή,512,377.79,3.58,Loading...,
καθημερινός,511,377.05,3.58,Loading...,
μήκος,510,376.31,3.58,Loading...,
λείπω,509,375.57,3.57,Loading...,
μπαίνω,509,375.57,3.57,Loading...,
επίσης,508,374.83,3.57,Loading...,
πράγµα,508,374.83,3.57,thing,
στέλνω,507,374.10,3.57,Loading...,
κόβω,505,372.62,3.57,Loading...,
ζητώ,504,371.88,3.57,Loading...,
αποφασίζω,501,369.67,3.57,Loading...,
κόκκινος,501,369.67,3.57,Loading...,
τοποθετώ,501,369.67,3.57,Loading...,
κατασκευάζω,500,368.93,3.57,Loading...,
σημείο,500,368.93,3.57,Loading...,
τ,498,367.46,3.57,Loading...,
φυσικός,496,365.98,3.56,Loading...,
φωτογραφία,496,365.98,3.56,Loading...,
πέφτω,495,365.24,3.56,Loading...,
προτείνω,495,365.24,3.56,Loading...,
τιµή,495,365.24,3.56,Loading...,
κουτί,492,363.03,3.56,Loading...,
γεννάω,488,360.08,3.56,Loading...,
γυναίκα,488,360.08,3.56,Loading...,
μπροστά,487,359.34,3.56,Loading...,
πράγμα,487,359.34,3.56,Loading...,
επιφάνεια,485,357.86,3.55,Loading...,
παραπάνω,483,356.39,3.55,above,
πατρίδα,483,356.39,3.55,country,
πιστεύω,483,356.39,3.55,Loading...,
ενώνω,482,355.65,3.55,Loading...,
τιμή,482,355.65,3.55,price,
βουνό,481,354.91,3.55,Loading...,
κρύβω,480,354.17,3.55,Loading...,
όργανος,480,354.17,3.55,Loading...,
δεκαδικός,475,350.48,3.54,Loading...,
νομίζω,475,350.48,3.54,Loading...,
αγοράζω,474,349.75,3.54,Loading...,
μουσείο,473,349.01,3.54,Loading...,
κύκλος,472,348.27,3.54,Loading...,
καιρός,471,347.53,3.54,Loading...,
τέχνη,471,347.53,3.54,Loading...,
αέρας,469,346.06,3.54,Loading...,
ν,469,346.06,3.54,Loading...,
αργός,467,344.58,3.54,Loading...,
δικαίωμα,467,344.58,3.54,Loading...,
πίσω,467,344.58,3.54,Loading...,
φεύγω,465,343.11,3.54,Loading...,
πολιτισμός,461,340.15,3.53,Loading...,
χαρά,460,339.42,3.53,Loading...,
αρχή,457,337.20,3.53,Loading...,
αρέσω,455,335.73,3.53,Loading...,
τέτοιος,455,335.73,3.53,Loading...,
σκέπτομαι,454,334.99,3.53,Loading...,
στιγμή,452,333.51,3.52,Loading...,
εφημερίδα,449,331.30,3.52,Loading...,
ούτε,449,331.30,3.52,Loading...,
ναός,447,329.82,3.52,Loading...,
φύλλο,446,329.09,3.52,Loading...,
μ,445,328.35,3.52,Loading...,
όρος,445,328.35,3.52,Loading...,
μεταφέρω,441,325.40,3.51,Loading...,
τετράδιο,441,325.40,3.51,Loading...,
φαντάζομαι,441,325.40,3.51,Loading...,
προϊόν,440,324.66,3.51,Loading...,
τρέχω,439,323.92,3.51,run,
χωριό,438,323.18,3.51,Loading...,
δένω,435,320.97,3.51,Loading...,
μα,435,320.97,3.51,Loading...,
πόδι,434,320.23,3.51,Loading...,
ανάγκη,433,319.49,3.50,Loading...,
νιώθω,432,318.76,3.50,Loading...,
χτυπάω,431,318.02,3.50,Loading...,
τετράγωνο,430,317.28,3.50,Loading...,
διαλέγω,429,316.54,3.50,Loading...,
παράσταση,429,316.54,3.50,Loading...,
θεωρώ,428,315.81,3.50,Loading...,
πουλί,428,315.81,3.50,Loading...,
προσέχω,428,315.81,3.50,Loading...,
γιορτή,427,315.07,3.50,Loading...,
δεύτερος,426,314.33,3.50,Loading...,
γεγονός,424,312.85,3.50,Loading...,
συμβαίνει,424,312.85,3.50,Loading...,
εύκολος,423,312.12,3.49,Loading...,
τέσσερις,423,312.12,3.49,Loading...,
συγκεντρώνω,420,309.90,3.49,Loading...,
τραγουδώ,419,309.16,3.49,Loading...,
θέατρο,418,308.43,3.49,Loading...,
σχέδιο,418,308.43,3.49,Loading...,
ανοίγω,417,307.69,3.49,Loading...,
κατάλληλος,416,306.95,3.49,Loading...,
σελίδα,415,306.21,3.49,Loading...,
ταξιδεύω,415,306.21,3.49,Loading...,
χαρακτηριστικός,415,306.21,3.49,Loading...,
πότε,413,304.74,3.48,When,
ανάλογος,412,304.00,3.48,Loading...,
βάση,412,304.00,3.48,Loading...,
μάθημα,412,304.00,3.48,Loading...,
τραγουδάω,412,304.00,3.48,Loading...,
ερωτώ,411,303.26,3.48,Loading...,
ευρώπη,410,302.52,3.48,Loading...,
φύση,410,302.52,3.48,Loading...,
πετάω,409,301.79,3.48,Loading...,
τροφή,408,301.05,3.48,Loading...,
κανόνας,406,299.57,3.48,Loading...,
ουρανός,405,298.83,3.48,Loading...,
φωνάζω,404,298.10,3.47,yell,
επιλέγω,403,297.36,3.47,Loading...,
μοιάζω,402,296.62,3.47,Loading...,
διάφορος,401,295.88,3.47,Loading...,
επειδή,399,294.41,3.47,because,
πάλι,399,294.41,3.47,Loading...,
πλευρά,399,294.41,3.47,Loading...,
ποίηµα,399,294.41,3.47,Loading...,
προσθέτω,398,293.67,3.47,Loading...,
ασκώ,397,292.93,3.47,Loading...,
γονέας,395,291.46,3.46,Loading...,
έξω,394,290.72,3.46,Loading...,
αντιμετωπίζω,392,289.24,3.46,Loading...,
κιλό,391,288.50,3.46,Loading...,
διπλανός,390,287.77,3.46,next door,
αναπτύσσω,389,287.03,3.46,Loading...,
όμορφος,388,286.29,3.46,Loading...,
ποτέ,388,286.29,3.46,Loading...,
κατασκευή,385,284.08,3.45,Loading...,
υπόλοιπος,385,284.08,3.45,Loading...,
δυνατό,384,283.34,3.45,Loading...,
ηλεκτρικός,384,283.34,3.45,Loading...,
σημασία,384,283.34,3.45,Loading...,
χρήµα,384,283.34,3.45,Loading...,
ιδιαίτερος,383,282.60,3.45,Loading...,
σημαίνω,381,281.13,3.45,Loading...,
διάφορο,380,280.39,3.45,Loading...,
καρδιά,378,278.91,3.45,Loading...,
οδηγώ,378,278.91,3.45,Loading...,
τελειώνω,378,278.91,3.45,Loading...,
απλός,377,278.17,3.44,Loading...,
τελικός,377,278.17,3.44,final,
ωραίος,375,276.70,3.44,Loading...,
λεπτά,374,275.96,3.44,Loading...,
μητέρα,374,275.96,3.44,Loading...,
αρκετός,370,273.01,3.44,Loading...,
οργανώνω,370,273.01,3.44,Loading...,
συνήθως,370,273.01,3.44,Loading...,
μπάλα,368,271.53,3.43,Loading...,
δασκάλα,367,270.80,3.43,Loading...,
γνωστός,366,270.06,3.43,Loading...,
λίμνη,366,270.06,3.43,Loading...,
ειρήνη,365,269.32,3.43,peace,
προσφέρω,364,268.58,3.43,Loading...,
ήλιο,363,267.84,3.43,Loading...,
αξία,362,267.11,3.43,Loading...,
γλυκός,362,267.11,3.43,Loading...,
δάσος,361,266.37,3.43,Loading...,
ποσό,359,264.89,3.42,Loading...,
σταματώ,359,264.89,3.42,Loading...,
γιαγιά,358,264.15,3.42,Loading...,
περιμένω,358,264.15,3.42,Loading...,
πολίτης,358,264.15,3.42,Loading...,
κοιτώ,357,263.42,3.42,Loading...,
σκηνή,357,263.42,3.42,Loading...,
χορός,357,263.42,3.42,Loading...,
όργανώνω,356,262.68,3.42,Loading...,
σύγχρονος,356,262.68,3.42,Loading...,
συνολικός,356,262.68,3.42,Loading...,
ολόκληρος,355,261.94,3.42,whole,
ρυθμός,355,261.94,3.42,Loading...,
πετώ,354,261.20,3.42,Loading...,
συχνός,353,260.47,3.42,Loading...,
διαιρώ,352,259.73,3.41,Loading...,
οργανισμός,352,259.73,3.41,Loading...,
μισός,351,258.99,3.41,Loading...,
αυτοκίνητο,350,258.25,3.41,Loading...,
τίτλος,350,258.25,3.41,Loading...,
βγάζω,349,257.51,3.41,Loading...,
σταματάω,349,257.51,3.41,Loading...,
ρίχνω,347,256.04,3.41,drop,
πέντε,345,254.56,3.41,Loading...,
χρωματίζω,345,254.56,3.41,Loading...,
φυσική,344,253.82,3.40,Loading...,
ανήκω,343,253.09,3.40,Loading...,
γυρίζω,342,252.35,3.40,Loading...,
τρίγωνο,341,251.61,3.40,Loading...,
ελεύθερος,339,250.14,3.40,Loading...,
δίπλα,338,249.40,3.40,Loading...,
προκαλώ,338,249.40,3.40,Loading...,
σύμβολο,337,248.66,3.40,Loading...,
συνδέω,337,248.66,3.40,connect,
διαφορά,336,247.92,3.39,Loading...,
εμβαδό,336,247.92,3.39,Loading...,
μελετώ,336,247.92,3.39,Loading...,
χαίρω,336,247.92,3.39,Loading...,
χρήση,335,247.18,3.39,Loading...,
σύμφωνο,334,246.45,3.39,Loading...,
αθλητής,333,245.71,3.39,Loading...,
ελέγχω,332,244.97,3.39,Loading...,
καράβι,332,244.97,3.39,Loading...,
επόμενος,331,244.23,3.39,Loading...,
χιλιάδα,331,244.23,3.39,Loading...,
βασικός,330,243.49,3.39,Loading...,
γιος,330,243.49,3.39,Loading...,
δύσκολος,330,243.49,3.39,difficult,
ξεχνάω,330,243.49,3.39,Loading...,
πολλαπλασιασμός,329,242.76,3.39,Loading...,
άρθρο,328,242.02,3.38,Loading...,
μοιράζω,328,242.02,3.38,Loading...,
ψάχνω,327,241.28,3.38,Loading...,
ειδικός,326,240.54,3.38,Loading...,
εκτιμώ,326,240.54,3.38,Loading...,
ύψος,325,239.81,3.38,Loading...,
λουλούδι,324,239.07,3.38,Loading...,
μέλος,324,239.07,3.38,Loading...,
ναι,323,238.33,3.38,Loading...,
παραµύθι,323,238.33,3.38,Loading...,
ιδέα,322,237.59,3.38,idea,
παραμύθι,321,236.85,3.37,Loading...,
διάρκεια,319,235.38,3.37,Loading...,
μόλις,319,235.38,3.37,just,
χορεύω,319,235.38,3.37,Loading...,
κυρίως,318,234.64,3.37,Loading...,
περίπτωση,318,234.64,3.37,Loading...,
νικάω,316,233.16,3.37,Loading...,
ευρωπαϊκός,315,232.43,3.37,Loading...,
παππούς,315,232.43,3.37,Loading...,
θερμοκρασία,313,230.95,3.36,Loading...,
πια,313,230.95,3.36,Loading...,
ποταµός,313,230.95,3.36,river,
αφαιρώ,312,230.21,3.36,Loading...,
παράγω,312,230.21,3.36,Loading...,
πίστη,312,230.21,3.36,faith,
κεφάλι,311,229.48,3.36,head,
καταγράφω,309,228.00,3.36,Loading...,
δουλειά,308,227.26,3.36,Loading...,
κάρτα,308,227.26,3.36,Loading...,
κατάσταση,308,227.26,3.36,Loading...,
όποιος,308,227.26,3.36,Loading...,
τόνος,308,227.26,3.36,tuna,
πλοίο,307,226.52,3.36,Loading...,
προσεκτικός,307,226.52,3.36,Loading...,
μόνος,305,225.05,3.35,Loading...,
άτομο,304,224.31,3.35,Loading...,
προστατεύω,304,224.31,3.35,Loading...,
φροντίζω,304,224.31,3.35,Loading...,
ακριβώς,303,223.57,3.35,Loading...,
αλλαγή,303,223.57,3.35,Loading...,
κακός,303,223.57,3.35,Loading...,
μεγαλώνω,303,223.57,3.35,grow up,
επισκέπτομαι,302,222.83,3.35,Loading...,
εθνικός,301,222.10,3.35,Loading...,
μετατρέπω,301,222.10,3.35,Loading...,
οδηγία,301,222.10,3.35,Loading...,
ανθρώπινος,300,221.36,3.35,Loading...,
εκτός,300,221.36,3.35,Loading...,
νύχτα,300,221.36,3.35,Loading...,
προηγούμενος,300,221.36,3.35,Loading...,
ρόλος,300,221.36,3.35,role,
ταιριάζω,299,220.62,3.34,suit,
γεμίζω,298,219.88,3.34,fill,
συμπέρασμα,298,219.88,3.34,Loading...,
πατρίς,297,219.15,3.34,Loading...,
σκοπός,297,219.15,3.34,Loading...,
απαραίτητος,296,218.41,3.34,Loading...,
βήμα,296,218.41,3.34,Loading...,
υπολογιστής,296,218.41,3.34,Loading...,
φορώ,296,218.41,3.34,wear,
κλείνω,295,217.67,3.34,close,
κοινός,295,217.67,3.34,Loading...,
κορίτσι,295,217.67,3.34,Loading...,
φέρνω,295,217.67,3.34,Loading...,
ανακαλύπτω,294,216.93,3.34,Loading...,
μαζεύω,293,216.19,3.33,Loading...,
πληθυσμός,293,216.19,3.33,population,
βάρος,291,214.72,3.33,Loading...,
έδαφος,291,214.72,3.33,Loading...,
παράδοση,291,214.72,3.33,Loading...,
πραγματικός,291,214.72,3.33,Loading...,
αρχικός,290,213.98,3.33,Loading...,
γειτονιά,290,213.98,3.33,Loading...,
διαλέγομαι,289,213.24,3.33,Loading...,
κέντρο,289,213.24,3.33,Loading...,
πιάνω,289,213.24,3.33,Loading...,
ύστερα,289,213.24,3.33,Loading...,
αυτοκρατορία,288,212.50,3.33,Loading...,
υγρός,288,212.50,3.33,Loading...,
μακριά,287,211.77,3.33,Loading...,
αμέσως,286,211.03,3.32,Loading...,
συγκρίνω,286,211.03,3.32,Loading...,
φωτιά,286,211.03,3.32,Loading...,
απόσταση,285,210.29,3.32,Loading...,
κάθομαι,285,210.29,3.32,Loading...,
επανάσταση,284,209.55,3.32,Loading...,
ψάρι,284,209.55,3.32,Loading...,
ήρωας,283,208.82,3.32,Loading...,
στέκω,283,208.82,3.32,stand,archaic
τηλεόραση,283,208.82,3.32,Loading...,
δήμος,282,208.08,3.32,municipality,
αλήθεια,281,207.34,3.32,Loading...,
γενικός,281,207.34,3.32,Loading...,
διασκευή,281,207.34,3.32,Loading...,
οικονομικός,280,206.60,3.32,Loading...,
σηκώνω,279,205.86,3.31,Loading...,
στρατός,279,205.86,3.31,Loading...,
άντρας,278,205.13,3.31,Loading...,
ψηλός,278,205.13,3.31,Loading...,
λειτουργία,277,204.39,3.31,Loading...,
πρόσθεση,277,204.39,3.31,Loading...,
στήλη,277,204.39,3.31,Loading...,
τίποτα,277,204.39,3.31,Loading...,
τύπος,277,204.39,3.31,Loading...,
ετοιμάζω,276,203.65,3.31,Loading...,
περίοδος,275,202.91,3.31,Loading...,
φοράω,275,202.91,3.31,Loading...,
ποταμός,274,202.17,3.31,Loading...,
χριστιανός,274,202.17,3.31,Loading...,
